       Channel  Importance
5    Channel 23    0.036217
6    Channel 35    0.034553
7    Channel 11    0.022965
8    Channel 39    0.021551
9    Channel 40    0.019515
10   Channel 10    0.019324
11   Channel 19    0.018937
12    Channel 5    0.016773
13   Channel 55    0.015391
14  Channel 133    0.014434
15    Channel 7    0.014200
16   Channel 25    0.013949
17    Channel 3    0.013534
18   Channel 37    0.013225
19  Channel 153    0.012067
20  Channel 189    0.010420
21   Channel 31    0.010121
22   Channel 33    0.009719
23  Channel 159    0.008899
24  Channel 195    0.008688
25   Channel 63    0.008446
26  Channel 106    0.007710
27   Channel 16    0.006860
28  Channel 101    0.006500
29   Channel 24    0.006356
