Question Number,Question Type,Choice,left eye 1,left eye 2,right eye 1,right eye 2,EA,EL,PI,PR,PG,TH,AX,AY,AZ,GX,GY,GZ,MX,MY,MZ,SA,SR,SF,HR,BI,Accept_Deny_button.response,Accept_Deny_button.rt,Confidence_Slider.response,Confidence_Slider.rt,Deny_Slider.response,Deny_Slider.rt,Accuracy of AI response,Image authentic?,HRVar
2,text,no,0.519100849,0.252057017,0.493541919,0.236953417,0.056280643,5317.032245,148463.8476,115731.4516,8325.077661,34.1672943,-0.001282878,0.193007656,0.969755981,1.077397129,0.705130393,0.100030334,4.145454545,-119.9138756,94.3569378,3.11e-05,0.144303848,123.058519,0.0,0.0,2.0,38.4682348,4.0,39.1529055,3.0,41.0155753,0.0,1.0,0.0
2,text,no,0.586928418,0.321137467,0.554176126,0.303962154,0.057618903,4738.481705,148460.2977,115794.9643,8283.765891,34.14746939,0.000563745,0.192983025,0.969589506,1.07491821,0.659731066,0.10947812,4.220679012,-119.9104938,94.44290123,3.32e-05,0.15772361,116.1359418,9.0,64240.0,1.0,21.0648424,3.0,23.5773216,1.0,25.4677285,1.0,1.0,0.0
2,text,no,0.456552708,0.452492275,0.41893384,0.563481562,0.058855518,4229.05919,148518.9905,115890.5477,8365.210805,34.12446667,0.000554569,0.192860465,0.969418605,1.078571882,0.697541977,0.105079507,4.16384778,-119.8403805,94.32769556,3.5e-05,0.160000033,98.23260965,10.2,8768.0,2.0,31.1012419,4.0,32.1786953,3.0,35.3786088,1.0,0.0,1.9235384061671343
2,text,no,0.539037251,0.383505195,0.499835147,0.432306886,0.060081027,3743.416668,148632.0935,116053.8726,8359.093548,34.11809574,0.000665971,0.192975884,0.969692926,1.100919614,0.694401929,0.110945671,4.091639871,-119.8199357,94.34565916,3.51e-05,0.178861829,95.40956267,12.0,17800.0,1.0,19.9680722,4.0,21.2497524,1.0,24.4445979,1.0,0.0,0.0
2,text,no,0.279416221,0.372588312,0.242882135,0.402240519,0.061033753,3379.84031,148679.8859,116197.0973,8378.978188,34.11696667,-0.001142857,0.195588629,0.968988294,1.059894649,0.692753794,0.098535211,4.14548495,-119.8528428,94.33779264,3.49e-05,0.177193079,94.70923056,12.0,9880.0,1.0,15.4463902,4.0,18.448819,1.0,22.4296742,1.0,1.0,1.0
2,text,no,0.538083648,0.4052204,0.509477348,0.42061502,0.062373252,2888.606019,148633.9494,116296.9049,8271.53042,34.09519547,-0.002032864,0.191641026,0.970149573,1.071474359,0.691520994,0.097038286,3.976068376,-119.7931624,94.27179487,3.49e-05,0.172307738,91.27800496,12.625,7750.0,2.0,25.4722844,2.0,45.228095,3.0,46.8977161,0.0,0.0,2.1339098923270936
2,text,no,0.533957675,0.462242532,0.495617002,0.486747728,0.063808273,2383.286263,148814.2458,116430.4031,8382.319896,34.06665665,-0.002909231,0.191743523,0.970023316,1.076895078,0.688896373,0.108842975,3.867875648,-119.5375648,94.26036269,2.17e-05,0.153846192,90.35361613,15.5,3320.0,2.0,25.0633129,3.0,26.2944747,3.0,30.1828519,0.0,1.0,0.7071067811865476
2,text,no,0.488019055,0.377528369,0.446659834,0.379085096,0.065199394,1916.046308,148858.3438,116549.0534,8358.102362,34.04289595,0.003307978,0.191744978,0.969788646,1.077715284,0.682293602,0.112400374,4.206113537,-119.6349345,94.30131004,3.23e-05,0.145833328,89.11708043,14.0,29320.0,1.0,42.6244234,2.0,43.6452355,3.0,44.8754431,1.0,0.0,0.0
2,text,no,0.511722625,0.427729082,0.485292926,0.367237359,0.066697062,1433.786937,148807.4375,116721.122,8254.444556,34.00871667,0.004018519,0.195444221,0.968895477,1.069924623,0.665435484,0.110448052,4.291457286,-119.6542714,94.31256281,3.16e-05,0.127044094,84.27682066,12.5,15820.0,1.0,35.0791184,3.0,35.8867693,1.0,39.3936427,1.0,0.0,0.5773502691896257
2,text,no,0.409693374,0.373101114,0.372811111,0.398417417,0.067939137,1050.107578,148990.4799,116834.7584,8386.668904,33.9847,0.008493103,0.199790412,0.967531773,1.078268757,0.660706607,0.041327982,3.040133779,-117.6432553,94.41137124,3.14e-05,0.141463488,71.8900037,12.5,10320.0,2.0,25.7932488,4.0,28.5785603,1.0,34.5888351,1.0,1.0,0.5773502691896257
2,text,no,0.585706807,0.278990564,0.562641908,0.296829395,0.069323391,639.362996,149035.5019,116941.6437,8340.480248,33.9393648,0.009644583,0.208998454,0.965282071,1.077202943,0.670897754,0.076776786,2.424265842,-116.6970634,94.51468315,3.37e-05,0.146969818,62.15616667,31.875,3627.5,1.0,48.7800174,3.0,40.190356,3.0,51.7119309,1.0,0.0,13.720422734012244
2,text,no,0.451448812,0.367746968,0.417969318,0.403372698,0.070657166,257.8496093,149133.9111,117045.1682,8364.136256,33.91568627,0.010514828,0.207789847,0.965569067,1.062709563,0.688385071,0.116996259,2.41322314,-116.7815821,94.51593861,3.19e-05,0.12666675,59.63553981,33.6,5032.0,1.0,31.0345317,4.0,31.6574512,1.0,32.6306269,1.0,1.0,1.140175425099138
2,text,no,0.57539195,0.319843048,0.544924913,0.321830516,0.071761875,-46.88743593,149381.4762,117179.8915,8420.913223,33.88221502,0.008252874,0.202023687,0.967176107,1.059665979,0.685881865,0.090924973,2.437564499,-116.9701339,94.52626159,2.86e-05,0.140229931,54.52719655,28.16666667,5966.666667,2.0,34.4337377,4.0,36.7291733,1.0,37.7092232,1.0,0.0,1.1690451944500122
2,text,no,0.41979754,0.449202533,0.382261921,0.466343047,0.072753222,-312.7631773,149410.2866,117336.8418,8388.779104,33.86364532,0.011146487,0.195614583,0.968376488,1.045008929,0.681574627,0.075276827,2.5,-117.3869048,94.55208333,3.6e-05,0.145679074,52.71804268,23.33333333,14026.66667,1.0,24.253134,3.0,25.0876535,3.0,26.4767692,1.0,1.0,0.5773502691896257
2,text,no,0.433532195,0.319284782,0.399497421,0.296640151,0.073511254,-511.1013598,149426.9781,117356.159,8379.400366,33.87140244,0.008850091,0.20190146,0.967136861,1.099529197,0.660808394,0.096238462,2.339416058,-116.9908759,94.52737226,3.13e-05,0.126984143,55.22472727,21.0,13560.0,2.0,18.1817792,5.0,19.0806684,1.0,20.2720337,0.0,0.0,0.0
2,text,no,0.494173543,0.408039429,0.453609023,0.391093118,0.074388133,-735.2535555,149365.9691,117426.2594,8325.575269,33.92286283,0.008744311,0.202963855,0.967058902,1.070725569,0.682037483,0.108393211,2.315013405,-116.9384203,94.45381526,2.85e-05,0.140000033,57.65171444,0.0,0.0,1.0,20.3475649,4.0,22.1949297,3.0,28.7298364,1.0,0.0,0.0
2,text,no,0.516805751,0.479804482,0.484017466,0.522437161,0.075342176,-973.5744203,149444.9316,117433.6761,8354.561368,33.97142667,0.007033195,0.201706237,0.967386318,1.064381048,0.678772636,0.098938819,2.362173038,-116.9476861,94.64386318,3.58e-05,0.12173913,62.57389667,18.0,56240.0,2.0,17.1611015,5.0,18.6250256,1.0,19.5394957,0.0,0.0,0.0
2,text,no,0.382427612,0.372562472,0.34508183,0.356327935,0.076495705,-1253.120772,149427.1906,117478.5893,8325.395425,34.04714388,0.004039728,0.201700651,0.967537961,1.076653261,0.690488017,0.108995386,2.331887202,-117.0130152,94.50542299,3.81e-05,0.128787909,66.5356991,19.28571429,5080.0,2.0,33.8196303,4.0,34.3979705,3.0,35.9018792,0.0,1.0,3.728908942943218
2,text,no,0.547325166,0.30968679,0.524317552,0.305255843,0.079623145,-1967.303601,149651.8601,117726.1593,8307.635897,34.18055502,-0.086568448,0.248530679,0.952705625,1.080875091,0.753343119,0.065191818,2.198899083,-119.2655223,94.05441928,4.13e-05,0.134463356,69.36832568,19.66666667,16440.0,,,,,,,,,3.265986323710904
