Question Number,Question Type,Choice,left eye 1,left eye 2,right eye 1,right eye 2,EA,EL,PI,PR,PG,TH,AX,AY,AZ,GX,GY,GZ,MX,MY,MZ,SA,SR,SF,HR,BI,Accept_Deny_button.response,Accept_Deny_button.rt,Confidence_Slider.response,Confidence_Slider.rt,Deny_Slider.response,Deny_Slider.rt,Accuracy of AI response,Image authentic?,HRVar
1,feature,no,0.51450116,0.536066682,0.504627065,0.525214849,0.082372203,-2557.181195,156892.5565,111456.2129,8594.16129,34.83431383,0.731638264,-0.175763666,0.629905145,1.05407074,0.693032154,0.099774878,33.29581994,-98.22829582,123.1881029,5.84e-05,0.20400008,124.0734533,12.66666667,7933.333333,2.0,17.0018563,2.0,17.9413422,1.0,24.2516681,0.0,1.0,0.5773502691896257
1,feature,no,0.445087081,0.45135586,0.42590441,0.461575874,0.08487268,-3057.678265,156867.4412,111568.4861,8597.48452,34.87832308,0.731731066,-0.175871716,0.629964451,1.04820711,0.683604328,0.099955766,33.10973725,-97.9366306,123.2936631,5.38e-05,0.194047625,126.1235731,11.8,5952.0,1.0,18.6782875,5.0,20.3900185,2.0,24.2634459,1.0,0.0,1.095445115010332
1,feature,no,0.452670727,0.479262372,0.443877423,0.476631784,0.087175061,-3493.401194,156921.2532,111656.7581,8607.895161,34.88511111,0.731905145,-0.175839228,0.629594855,1.056231511,0.679379421,0.099878247,33.26366559,-98.19614148,123.2829582,4.4e-05,0.168794319,121.0787079,14.4,4752.0,2.0,16.5721841,4.0,20.5496783,3.0,24.0600418,1.0,1.0,0.5477225575051661
1,feature,no,0.509958883,0.280371663,0.498601877,0.286601856,0.089176165,-3853.71875,157083.8551,111773.3961,8595.681159,34.8845508,0.732704655,-0.176205457,0.628508828,1.059723917,0.677516854,0.100065359,33.09630819,-98.02568218,123.35313,3.55e-05,0.15744683,116.1609707,13.6,4760.0,2.0,21.6758221,4.0,22.9225667,3.0,24.3689236,1.0,0.0,0.5477225575051661
1,feature,no,0.434712722,0.485059338,0.440163987,0.476555552,0.090873239,-4146.951964,157180.196,111849.8297,8632.049451,34.85495181,0.733184644,-0.176802559,0.627647166,1.06466362,0.675144424,0.106099631,33.1261426,-98.12797075,123.4277879,4.28e-05,0.185416531,103.6616318,14.0,7413.333333,1.0,13.8916807,5.0,14.9133623,2.0,20.6393589,0.0,1.0,1.0
1,feature,no,0.291663866,0.37261805,0.281239313,0.37343258,0.095979073,-4955.801586,157540.7355,112189.9394,8576.358155,34.81624059,0.783408587,-0.187023269,0.554054571,0.958226101,0.497517872,0.087819949,27.11301939,-96.01052632,122.4955679,3.79e-05,0.147957026,71.61859174,15.875,5338.333333,,,,,,,,,2.7554294228573206
2,text,no,0.543531045,0.398724228,0.538460963,0.409015756,0.101635263,-5776.727853,158287.8519,112385.7485,8494.428571,34.85924638,0.809621834,-0.193639301,0.514758079,1.184609607,1.105848379,0.145435177,25.23842795,-94.27598253,121.9764192,3.56e-05,0.131182871,50.2287,15.90909091,5734.545455,1.0,36.7268156,5.0,38.5888707,2.0,44.6041942,1.0,1.0,2.385562636132007
2,text,no,0.516414261,0.41789577,0.506776967,0.435684632,0.103947119,-6083.164207,158047.7138,112310.1436,8422.769314,34.87408244,0.816688382,-0.193019544,0.504242128,1.048539631,0.67775,0.099701124,25.52442997,-93.65038002,121.8262758,3.71e-05,0.13866672,42.78578108,18.55555556,3906.666667,2.0,34.0785182,4.0,35.4451688,3.0,36.8277671,0.0,1.0,0.8819171036881969
2,text,no,0.611399065,0.250636195,0.601802051,0.266610855,0.106137426,-6360.823687,158027.403,112317.9859,8412.483599,34.90064596,0.817341737,-0.193422035,0.503040149,1.045892624,0.6840831,0.098726316,25.5620915,-93.6031746,121.7628385,3.31e-05,0.121212091,38.77725271,17.88888889,4880.0,1.0,37.5129858,3.0,38.4346514,2.0,41.9617359,1.0,1.0,1.0540925533894598
2,text,no,0.546105793,0.265287988,0.540537325,0.277404936,0.10868657,-6669.820227,158144.4164,112387.9529,8388.362462,34.91755138,0.819208333,-0.193740152,0.500113636,1.051061364,0.680390152,0.102270882,25.51742424,-93.39848485,121.6863636,3.27e-05,0.127536304,28.70703899,19.5,4423.333333,1.0,45.6341993,4.0,48.7100596,2.0,52.4714514,1.0,0.0,2.0225995873897262
2,text,no,0.706438495,0.229296181,0.696782781,0.245467042,0.111160139,-6956.530338,158194.0123,112481.6179,8394.006135,34.92103468,0.822608734,-0.197137118,0.493441048,1.03697465,0.674700787,0.101519749,25.41048035,-92.89432314,121.6672489,3.26e-05,0.123077,22.88888921,19.90909091,4069.090909,2.0,15.2461821,5.0,41.9987716,2.0,44.5166905,1.0,0.0,4.678772177709563
2,text,no,0.601083408,0.438817724,0.58333714,0.453497329,0.112784669,-7138.097832,158000.6822,112465.1798,8363.610853,34.89355897,0.825190108,-0.19892272,0.488684699,1.043109737,0.689098918,0.10077044,25.30448223,-92.54868624,121.6599691,3.03e-05,0.0833335,17.38375641,25.85714286,3760.0,1.0,19.9923979,4.0,21.1700267,2.0,24.3428182,1.0,1.0,1.0690449676496976
2,text,no,0.518356491,0.429975331,0.51797235,0.44338287,0.113836784,-7252.751662,158001.0235,112525.344,8383.857383,34.87236111,0.825423786,-0.199043551,0.488224456,1.042738693,0.687420436,0.09666893,25.319933,-92.48073702,121.6566164,2.51e-05,0.104761857,18.15136667,24.5,2452.0,1.0,17.7325025,4.0,21.6366903,3.0,23.009037,0.0,0.0,1.7159383568311668
2,text,no,0.639590544,0.368248338,0.629502197,0.382789542,0.11511127,-7388.752406,158106.9351,112534.028,8389.880313,34.84933579,0.825585938,-0.199082589,0.487882813,1.042002232,0.687085938,0.097519362,25.390625,-92.48883929,121.7098214,2.07e-05,0.104762,15.624775,24.16666667,5993.333333,2.0,34.045921,5.0,34.856176,1.0,35.863201,0.0,1.0,2.9268868558020253
