Question Number,Question Type,Choice,left eye 1,left eye 2,right eye 1,right eye 2,EA,EL,PI,PR,PG,TH,AX,AY,AZ,GX,GY,GZ,MX,MY,MZ,SA,SR,SF,HR,BI,Accept_Deny_button.response,Accept_Deny_button.rt,Confidence_Slider.response,Confidence_Slider.rt,Deny_Slider.response,Deny_Slider.rt,Accuracy of AI response,Image authentic?,HRVar
5,text,no,0.390487186,0.430215519,0.391777244,0.49011009,0.17186073,-11402.04602,146761.6028,123406.119,8019.9375,36.29970199,0.615548193,0.380218876,0.635552209,1.069110442,0.604348089,0.101008282,-21.26104418,-90.23493976,101.8875502,7.85E-05,0.066667,11.36152667,57.75,2555,2,14.3389762,4,16.1409171,1,19.7271847,1,0,7.592289322
5,text,no,0.682040307,0.327044635,0.690417312,0.391504918,0.172989847,-11455.17151,146958.1068,123595.4553,8001.005254,36.29301156,0.618122164,0.380308901,0.633089005,1.022493892,0.618342657,0.087313297,-21.08726003,-90.20244328,101.8499127,0.000264,0.066667,7.594475362,52.73684211,1200,1,12.7506507,5,14.6988274,3,22.0581645,1,1,2.353298047
5,text,no,0.393128222,0.435753535,0.394235659,0.498790824,0.174281926,-11515.01895,146722.5457,123497.6713,8000.851163,36.30352821,0.639377125,0.309630603,0.604006182,1.011982998,0.649705426,0.171304976,-23.49149923,-88.03709428,101.8098918,0.000849,0.3,4.816079747,50.77777778,1373.333333,1,14.3752975,3,15.9250908,1,24.3410363,1,0,2.712835624
5,text,no,0.67330289,0.362612503,0.680959713,0.43765119,0.175165453,-11555.64434,145570.998,123365.2978,7994.674044,36.28868667,0.644008032,0.381399598,0.605331325,1.111209256,0.645026316,0.0433159,-19.54819277,-89.05421687,108.8995984,0.000145,0.2,4.55709322,47.57142857,1517.142857,1,13.930943,5,15.0117399,1,19.2222606,1,1,2.874671505
5,text,no,0.471814393,0.41019307,0.475137731,0.47257643,0.175626745,-11576.61994,145424.0484,123400.221,7910.429032,36.27228191,0.642752412,0.394792605,0.59779582,1.043988746,0.593130645,0.107810345,-19.09485531,-89.8488746,108.0450161,0,0,2.580219737,54.28571429,1173.333333,2,15.8071098,2,17.5762183,2,23.2145861,0,0,2.68594224
5,text,no,0.596588142,0.414537662,0.601679175,0.48068407,0.176523889,-11617.07159,145357.7955,123225.7194,7915.8,36.29564356,0.664183036,0.396404762,0.571546131,1.051907738,0.577727952,0.116602871,-18.6860119,-88.95982143,108.5639881,7.95E-05,0.066667,3.383946914,52.35,1332,2,21.1588764,4,23.0214674,1,26.6516534,1,0,2.368099393
5,text,no,0.461007612,0.409869534,0.461220965,0.486313755,0.178137505,-11688.82978,145084.1129,122976.4839,7838.212903,36.38560317,0.661211878,0.403314607,0.569134831,1.0459374,0.614062802,0.095644558,-18.13804173,-89.1364366,108.600321,8.94E-05,0.1066668,4.762242667,52.2,1224,1,17.3621092,3,19.6573954,3,24.2496748,0,0,3.679244774
5,text,no,0.363062999,0.435472606,0.36124819,0.496349789,0.179893077,-11765.48897,145052.1102,122922.6801,7892.641949,36.49244366,0.649553911,0.393429175,0.590750529,0.924877378,0.661942553,0.069219239,-18.91754757,-89.35306554,110.0295983,0.0001238,0.1066668,10.84491404,58.875,1225,2,13.404924,5,14.4989295,3,17.9169231,0,1,3.879432948
5,text,no,0.632063583,0.341921376,0.636057357,0.409866643,0.188119671,-12101.6329,145018.0765,122951.457,7719.156129,36.9119506,0.662980515,0.395230214,0.573361799,1.027397593,0.604603628,0.093020564,-18.73129661,-88.24536926,109.3553043,9.18E-05,0.107407528,12.58278964,52.359375,1296.5625,,,,,,,,,4.706728933
6,converstational,no,0.639625087,0.521974651,0.641525602,0.601050351,0.197154548,-12446.284,144916.0893,123021.0298,7635.982726,37.29107302,0.667949282,0.393512919,0.56850622,1.045655502,0.580141473,0.144202825,-18.40095694,-87.95502392,109.4105263,0.000156,0.088889167,11.10014841,54.82352941,1224.705882,1,23.2296669,5,24.231242,3,41.2016952,1,0,4.224535752
